Condition,Raw p-value,FDR-corrected p-value
upright,0.7397159917988206,0.7397159917988206
inverted,1.0998457127877803e-05,1.466460950383707e-05
inverted - aligned,1.2407354227359196e-59,4.962941690943678e-59
inverted - misaligned,1.142903531104302e-53,2.285807062208604e-53
