Condition,Raw p-value,FDR-corrected p-value
upright,7.536373340546635e-05,9.043648008655962e-05
upright - aligned,1.1371472105544793e-94,3.4114416316634383e-94
upright - misaligned,1.6630423086495446e-101,9.978253851897268e-101
inverted,0.0004971386642580726,0.0004971386642580726
inverted - aligned,1.884065545856755e-48,2.8260983187851324e-48
inverted - misaligned,2.6752575504436755e-50,5.350515100887351e-50
