,sum_sq,df,F,PR(>F)
C(condition),26525926.05211871,1.0,8624.49723734156,0.0
C(identity),12565669.212104278,1.0,4085.5342502353533,7.22191357e-315
C(alignment),202588.64413453688,1.0,65.86858450189825,1.8366048862324617e-15
C(condition):C(identity),5560622.022417662,1.0,1807.9508016426535,1.2591306660389206e-206
C(condition):C(alignment),18856.448335342284,1.0,6.130884413034236,0.013492016778015783
C(identity):C(alignment),16987.883680539315,1.0,5.523349329377653,0.01900878745972515
C(condition):C(identity):C(alignment),78150.03078920796,1.0,25.409281595499547,5.749538731839885e-07
Residual,2435913.984912325,792.0,,
