,sum_sq,df,F,PR(>F)
C(condition),207.9050581206586,1.0,482.8735845160613,6.202346476939115e-84
C(identity),769.1937854569339,1.0,1786.5046850159404,3.352384251502084e-205
C(alignment),3.8263848057222583,1.0,8.88703797578894,0.002959979061927327
C(condition):C(identity),62.76765917292339,1.0,145.78214137975462,6.259119300589277e-31
C(condition):C(alignment),0.016313470587771044,1.0,0.03788914079253758,0.845715833891349
C(identity):C(alignment),1.4135397478428569,1.0,3.283041841630821,0.07037769906022835
C(condition):C(identity):C(alignment),2.475654798285595,1.0,5.749876012053445,0.01672036006688148
Residual,341.0018922376663,792.0,,
