Condition,Raw p-value,FDR-corrected p-value
upright,2.4671393138635655e-11,3.2895190851514204e-11
upright - aligned,7.091165714248215e-95,1.418233142849643e-94
upright - misaligned,5.217561585521776e-115,2.0870246342087105e-114
inverted,0.6034000140387599,0.6034000140387599
