,sum_sq,df,F,PR(>F)
C(condition),2432747.5484457994,1.0,10802.91274697617,0.0
C(identity),781440.3297877441,1.0,3470.081268834691,1.1532537544304864e-291
C(alignment),7877.415034346834,1.0,34.980624003560926,4.950930028516066e-09
C(condition):C(identity),518192.9814625139,1.0,2301.099252329469,1.6431851912259578e-236
C(condition):C(alignment),519.7937708537617,1.0,2.3082077532222076,0.12909144086801475
C(identity):C(alignment),6920.678096185427,1.0,30.732116725701438,4.0363982372903116e-08
C(condition):C(identity):C(alignment),8370.056465595477,1.0,37.168258475014646,1.6919537394978454e-09
Residual,178353.38519311688,792.0,,
