,sum_sq,df,F,PR(>F)
C(condition),370.25914385854514,1.0,0.32781142182019135,0.5671131437655483
C(identity),2173619.453080991,1.0,1924.4285934035595,3.6216926913553326e-214
C(alignment),366949.9983895123,1.0,324.8816476357949,4.014178106943452e-61
C(condition):C(identity),7476.8221625562655,1.0,6.619654759264147,0.010266923361946938
C(condition):C(alignment),0.10554949842714442,1.0,9.344895791426847e-05,0.992289484182081
C(identity):C(alignment),3367.559154979486,1.0,2.9814911338939782,0.0846115808065099
C(condition):C(identity):C(alignment),55.69051195017208,1.0,0.049305969095134176,0.8243326133778495
Residual,894554.6811874555,792.0,,
