,sum_sq,df,F,PR(>F)
C(condition),919074.5543663062,1.0,8858.777538490056,0.0
C(identity),354545.0355248244,1.0,3417.3893534198123,1.592153796546851e-289
C(alignment),22092.885153818865,1.0,212.94894285919537,6.815730268949905e-43
C(condition):C(identity),157782.6377683371,1.0,1520.8355848667811,1.725972719380582e-186
C(condition):C(alignment),13411.243086328433,1.0,129.26831501532854,7.479298907411374e-28
C(identity):C(alignment),957.2422081244131,1.0,9.226667991122936,0.0024634368258582605
C(condition):C(identity):C(alignment),291.8146708422893,1.0,2.8127437966574536,0.09391288933351272
Residual,82167.88872905634,792.0,,
